,page_id,status,date,type,operator,registration,msn,first_flight,crew,passengers,total,aircraft_damage,location,phase,nature,departure_airport,destination_airport,narrative,time,engines,collision_casualties,aircraft_fate,crash_site_elevation,flightnumber,total_airframe_hrs,ground_casualties,operating_for,leased_from,cycles,operated_by,on_behalf_of
433,19741105-1,,Tuesday 5 November 1974,Tupolev Tu-104B,"Aeroflot, Far East Civil Aviation Directorate",CCCP-42501,021804,1960,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Chita Airport (HTA) (   Russia),Landing (LDG),Domestic Scheduled Passenger,?,"Chita Airport (HTA/UIAA), Russia",Overran on landing by 430 metres. It came to rest against a railway embankment.,,2 Mikulin AM-3M-500,,,,,17301,,,,12990,,
434,19741120-0,Final,Wednesday 20 November 1974,Boeing 747-130,Lufthansa,D-ABYB,19747/29,1970-03-30  (4 years 8 months),Fatalities: 4 / Occupants: 17,Fatalities: 55 / Occupants: 140,Fatalities: 59 / Occupants: 157,Destroyed,Nairobi International Airport (NBO) (   Kenya),Takeoff (TOF),International Scheduled Passenger,"Nairobi International Airport (NBO/HKNA), Kenya","Johannesburg International Airport (JNB/FAJS), South Africa","Boeing 747 D-ABYB was taking off for the last leg of the Frankfurt (FRA) - Nairobi (NBO) - Johannesburg (JNB) flight when the crew felt vibration or buffeting following lift off. The captain, suspecting wheel imbalance, raised the gear. A lack of acceleration forced the crew to lower the nose in order to maintain airspeed. The Boeing continued to descend however and contacted the ground 1120 m past the end of runway 24 and struck an elevated road 114 m further on. The aircraft broke up and caught fire before coming to rest 454 m past the initial point of impact.",07:54,4 Pratt & Whitney JT9D-7,,Written off (damaged beyond repair),,LH540,16781,,,,,,
435,19741211-0,Final,Wednesday 11 December 1974,Lockheed L-188AF Electra,Fairbanks Air Service,N400FA,1064,1959-06-04  (15 years 6 months),Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 3,Damaged beyond repair,"Prudhoe Bay/Deadhorse Airport, AK (SCC) (   United States of America)",Landing (LDG),Cargo,"Fairbanks International Airport, AK (FAI/PAFA), United States of America","Prudhoe Bay/Deadhorse Airport, AK (SCC/PASC), United States of America","The aircraft landed on a remote oil company strip and veered to the left, went off the runway and struck a road. The no. 2 engine mount broke and the aircraft caught fire. The aircraft was carrying a load of 17000l Arctic diesel fuel.",20:15,,,,,,,,,,,,
436,19741214-0,,Saturday 14 December 1974,Yakovlev Yak-40,Aeroflot / Tajikistan,CCCP-87630,9131119,1971,Fatalities: 0 / Occupants: 4,Fatalities: 7 / Occupants: 15,Fatalities: 7 / Occupants: 19,Destroyed,Bukhara Airport (BHK) (   Uzbekistan),Takeoff (TOF),Domestic Scheduled Passenger,"Bukhara Airport (BHK/UTSB), Uzbekistan","Dushanbe Airport (DYU/UTDD), Tajikistan","A locked elevator forced the pilot to abort the takeoff roll. The Yak-40 failed to stop within the remaining runway length and overran, hitting an earthen dyke. A fire broke out, almost completely consuming the aircraft.",11:01,3 Ivchenko AI-25,,Written off (damaged beyond repair),229 m (751 feet) amsl,,3637,,,,4595,,
437,19750102-0,Final,Thursday 2 January 1975,Douglas C-54P (DC-4),Transvall Corp.,N37AP,10430,1944,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 3,Damaged beyond repair,"Tucson-Davis Monthan AFB, AZ (DMA) (   United States of America)",Takeoff (TOF),Ferry/positioning,"Tucson-Davis Monthan AFB, AZ (DMA/KDMA), United States of America","Daggett-Barstow-Daggett Airport, CA (DAG/KDAG), United States of America","Takeoff from Davis Monthan AFB was attempted with the gust locks engaged. The crew failed to abort the takeoff, causing the DC-4 to overrun the runway.Inadequate pre-flight preparation and lack of familiarity with the aircraft were the cause of the crew's failure to remove the gust locks prior to takeoff.",13:58,,,,,,,,,,,,
438,19750109-2,,Thursday 9 January 1975,Fokker F-27 Friendship 600,Air Zaire,9Q-CLM,10393,1969,Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 15,Fatalities: 0 / Occupants: 19,Damaged beyond repair,Boende Airport (BNB) (   Democratic Republic of the Congo),Landing (LDG),Scheduled Passenger,?,"Boende Airport (BNB/FZGN), Democratic Republic of the Congo","Friendship 9Q-CLM landed too far down the runway, crossed a road and crashed down hill coming to rest 100 m past the runway end. One child was killed on the road. Some sources claim the accident happened on January 7, 1975.",,,,,,,9527,Fatalities: 1,,,6807,,
439,19750125-0,,Saturday 25 January 1975,Fokker F-27 Friendship 600,Maersk Air,OY-APD,10437,1970,Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 22,Fatalities: 0 / Occupants: 26,Damaged beyond repair,Faroe Islands-Vagar Airport (FAE) (   Denmark),Landing (LDG),Scheduled Passenger,?,"Faroe Islands-Vagar Airport (FAE/EKVG), Denmark",The F-27 landed at Vagar runway 31 with a 9 kt crosswind and 6 knots tailwind component. About 950 m after touchdown the aircraft started veering to the left. The aircraft ran off the runway and struck high terrain 85 m left of the runway. The 1100 m runway was covered with water and ice at the time of the accident.,,,,,,,9122,,,,5834,,
440,19750201-1,,Saturday 1 February 1975,Vickers 806 Viscount,Mandala Airlines,PK-RVM,413,1958-07-21  (16 years 7 months),Fatalities: 0 / Occupants: 5,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 5,Damaged beyond repair,Taipei-Songshan Airport (TSA) (   Taiwan),Landing (LDG),Unknown,?,"Taipei-Songshan Airport (TSA/RCSS), Taiwan",The aircraft overran the runway on landing and ended up in a paddy field.,,4 Rolls-Royce Dart 520,,,,,,,,,,,
441,19750219-0,,Wednesday 19 February 1975,Yakovlev Yak-40FG,General Air,D-BOBD,9230323,1972,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 14,Fatalities: 0 / Occupants: 16,Damaged beyond repair,Saarbrücken Airport (SCN) (   Germany),Landing (LDG),Domestic Scheduled Passenger,"Frankfurt International Airport (FRA/EDDF), Germany","Saarbrücken-Ensheim Airport (SCN/EDDR), Germany","The Yak-40 suffered a runway excursion after landing at Saarbrücken Airport , Germany.The aircraft operated on a service from Frankfurt, on behalf of Lufthansa. An ILS approach was flown to runway 27 with a tailwind component. After touchdown the revere thrust did not activate and the pilots were unable to stop the aircraft on the remaining runway. Because an overrun seemed imminent, the aircraft was steered off the right side of the runway. The Yak-40 collided with trees.",,3 Ivchenko AI-25,,,,LH1745,,,,,,,
442,19750304-0,Final,Tuesday 4 March 1975,Dassault Falcon 20C,LTV Aerospace,N990L,43,1966,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 3,Fatalities: 0 / Occupants: 5,Damaged beyond repair,"Dallas-Hensley Field NAS, TX (   United States of America)",Takeoff (TOF),Executive,"Dallas-Hensley Field NAS, TX, United States of America","Washington (unknown airport), DC, United States of America","The horizontal stabilizer had been inspected prior to departure, but it was left in the full nose down position. On takeoff from runway 17 the Falcon did not rotate. Takeoff was aborted but it overran the wet runway into Mountain Creek Lake.",06:46,,,,,,,,,,,,
443,19750307-0,,Friday 7 March 1975,Hindustan Aeronautics Ltd. HAL-748-224 Srs. 2,Indian Airlines,VT-DXO,522,,Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 47,Fatalities: 0 / Occupants: 51,Substantial,Rajkot-Civil Airport (RAJ) (   India),Takeoff (TOF),Domestic Scheduled Passenger,"Rajkot-Civil Airport (RAJ/VARK), India",?,The flight crew of the HAL-748 abandoned the takeoff due to a reported jamming of the elevator. The aircraft overshot the runway and came to a stop on soft ground after cutting through the perimeter fencing.,08:10,,,Repaired,,,,,,,,,
444,19750313-2,Final,Thursday 13 March 1975,Rockwell 1121 Jet Commander,Jet Travel,N711JT,91,,Fatalities: 0 / Occupants: 2,Fatalities: 0 / Occupants: 5,Fatalities: 0 / Occupants: 7,Damaged beyond repair,"Tullahoma, TN (   United States of America)",Landing (LDG),Executive,"Oklahoma City (unknown airport), OK, United States of America","Tullahoma-Northern Airport, TN (THA/KTHA), United States of America","Landed long on a slick runway and overran, colliding with trees.",14:40,,,,,,,,,,,,
445,19750329-0,,Saturday 29 March 1975,Fairchild F-27,Air Manila International,RP-C874,17,1958,Fatalities: 0 / Occupants: 5,Fatalities: 0 / Occupants: 0,Fatalities: 0 / Occupants: 5,Damaged beyond repair,Baguio-Loakan Airport (BAG) (   Philippines),Landing (LDG),Ferry/positioning,?,"Baguio-Loakan Airport (BAG/RPUB), Philippines","The right main landing gear collapsed after landing, causing the plane to swerve off the runway. Cause of the landing gear failure was the fact that the corroded lower lug of the oleo strut broke.",,,,,,,,,,,,,
446,19750331-0,Final,Monday 31 March 1975,Boeing 737-247,Western Air Lines,N4527W,20131/165,1969-05-07  (5 years 11 months),Fatalities: 0 / Occupants: 6,Fatalities: 0 / Occupants: 93,Fatalities: 0 / Occupants: 99,Damaged beyond repair,"Casper Airport, WY (CPR) (   United States of America)",Landing (LDG),Domestic Scheduled Passenger,"Denver-Stapleton International Airport, CO (DEN/KDEN), United States of America","Casper Airport, WY (CPR/KCPR), United States of America","Western Air Lines flight 470 to Casper and Minneapolis departed Denver at 07:03 in the morning. The airplane, on an IFR flightplan, climbed to its cruising altitude of FL220. At 07:36, following a descent to 12,000 feet, the flightcrew contacted Casper approach control and advised that the flight was about 12 miles south of the Evansville Intersection. At that time, the controller cleared the flight to use the localizer back course approach for runway 25, to circle to runway 3, or to land straight in. The weather reported to the crew indicated poor visibility with light snow falling and wind 040deg at 9 knots. One minute later, the approach controller advised that ""runway 7/25 has beenplowed. There's about a 1/4-inch of powder snow on it. Braking action reported, Convair 580, as poor. Runway 3/21 is being plowed at this time.""At 07:51, Flight 470 reported at the Henning Intersection and was cleared to contact the Casper Tower. The tower controller cleared the flight to land on runway 25 and gave the wind as 030deg at 8 knots. The flight was also advised by the controller that a disabled snow blower was ""just west of the intersection runway 21, left side runway 25, on the edge ...."" At 07:41:42, the first officer called out ""thousand to go to the field."" At 07:42:09, the first officer called ""approaching minimums,"" and 12 seconds later, he called ""just about at minimums.""The aircraft then flew level for a few moments a t the minimum descent altitude (MDA). At 07:42:25,the first officer called the runway in sight directly below the aircraft. At that time airspeed was 150 knots and the flaps were at 25deg. The first office then set the flaps at 30deg as the captain initiated the final descent. The aircraft crossed the threshold at reference speed +15 knots. The aircraft touched down 2375 feet from the departure end of the runway, about 6,306 feet from the approach end of the runway. The aircraft went off the departure end of the runway to the right of the centerline. After striking several metal stanchions in the first row of terminal bar lights, which were located 200 feet off the end of the runway, the aircraft struck a shallow irrigation ditch 280 feet off the runway end. The aircraft veered farther to the right and stopped about 800 feet beyond the departure end of the runway.",07:43,2 Pratt & Whitney JT8D-9A,,,,470,14076,,,,,,
447,19750406-0,,Sunday 6 April 1975,Lockheed C-130A Hercules,Vietnam Air Force - VNAF,55-0002,3029,1957,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Fatalities: 0 / Occupants:,Damaged beyond repair,Bien Hoa (   Vietnam),Unknown (UNK),Military,?,?,Skidded off runway; destroyed by fire.,,,,,,,,,,,,,
448,19750511-2,,Sunday 11 May 1975,Vickers 769D Viscount,PLUNA,CX-AQO,322,1958,Fatalities: 0 / Occupants: 5,Fatalities: 0 / Occupants: 52,Fatalities: 0 / Occupants: 57,Damaged beyond repair,"Buenos Aires-Jorge Newbery Airport, BA (AEP) (   Argentina)",Landing (LDG),International Scheduled Passenger,"Montevideo-Carrasco Airport (MVD/SUMU), Uruguay","Buenos Aires-Jorge Newbery Airport, BA (AEP/SABE), Argentina",Swung off runway on landing.,,,,,,,,,,,,,
449,19750528-0,,Wednesday 28 May 1975,NAMC YS-11-125,TOA Domestic Airlines,JA8680,2041,1967,Fatalities: 0 / Occupants: 4,Fatalities: 0 / Occupants: 18,Fatalities: 0 / Occupants: 22,Damaged beyond repair,Osaka-Itami Airport (ITM) (   Japan),Landing (LDG),Domestic Scheduled Passenger,"Osaka-Itami Airport (ITM/RJOO), Japan","Oki Island Airport (OKI/RJNO), Japan",A hydraulic oil leak forced the crew to return to Osaka (ITM). A tire blew during the landing roll on runway 32R causing the YS-11 to veer off the runway. The aircraft crossed a sod area and a drainage ditch. The oil leak was caused by a loose connection of the hydraulic oil line in the left flap well.,11:42,,,,,621,18713,,,,,,
450,19750617-0,,Tuesday 17 June 1975,Hawker Siddeley HS-748-235 Srs. 2A,Varig,PP-VDN,1625,1967,Fatalities: 1 / Occupants: 4,Fatalities: 0 / Occupants: 11,Fatalities: 1 / Occupants: 15,Damaged beyond repair,"Pedro Afonso, GO (   Brazil)",Landing (LDG),Domestic Scheduled Passenger,?,"Pedro Afonso, GO (SWPA), Brazil","The aircraft approached with excessive speed and touched down on the last 300 m of the runway, overran, crossed a street and crashed into a house. The crew were practicing a simulated IFR approach.",,,,,,,,Fatalities: 3,,,,,
451,19750617-1,Final,Tuesday 17 June 1975,Sud Aviation SE-210 Caravelle VI-N,Indian Airlines,VT-DVJ,216,1966-12-21  (8 years 6 months),Fatalities: 0 / Occupants: 6,Fatalities: 0 / Occupants: 87,Fatalities: 0 / Occupants: 93,Damaged beyond repair,Bombay-Santacruz Airport (BOM) (   India),Landing (LDG),Domestic Scheduled Passenger,"Delhi-Indira Gandhi International Airport (DEL/VIDP), India","Bombay-Santacruz Airport (BOM/VABB), India","The aircraft touched down at a considerable distance from the beginning of the runway, which was wet due to rain.The aircraft could not be stopped in the rest of the runway length available in spite of application of full brakes and deployment of the drag chute.Application of emergency brakes resulted in the skidding of the aircraft on locked wheels, which caused all main wheel tyres to burst. Eventually, the pilot sharply swung the aircraft on the over-run area which resulted in shearing of the port landing gear and other structural damage to the aircaft.",08:33,,,,,,,,,,,,
452,19750915-0,Final,Monday 15 September 1975,Hawker Siddeley HS-121 Trident 1E,British Airways,G-AVYD,2138,1969,Fatalities: 0 / Occupants: 7,Fatalities: 0 / Occupants: 110,Fatalities: 0 / Occupants: 117,Damaged beyond repair,Bilbao Airport (BIO) (   Spain),Takeoff (TOF),International Scheduled Passenger,"Bilbao Airport (BIO/LEBB), Spain","London-Heathrow Airport (LHR/EGLL), United Kingdom","The HS-121 Trident aircraft was operating British Airways flight NS552, a scheduled service from Bilbao (BIO) to London (LHR). Earlier in the day the aircraft and crew had NS551 from London to Bilbao and after an uneventful flight had landed at Bilbao on runway 10 at 12:31. At the time of landing light rain was falling and the runway was wet. No standing water was seen on the runway during the landing run.While the aircraft was being prepared for the return flight rain fell intermittently varying in intensity from moderate to heavy, but abating to light as the aircraft taxied out for takeoff. Weather was reported to the crew as: Surface Wind: calm; runway in use: 28; QNH: 1014 mbs. Start-up was normal and at 13:37 the aircraft was cleared to taxi and to hold short of the runway because of landing traffic - a Caravelle. The crew watched the Caravelle land on runway 10 and the Flight Engineer commented to his two colleagues on the considerable amount of water spray being thrown up at the rear of this aircraft during its landing run. The Commander remarked that he would assess the runway conditions while back-tracking to the takeoff position from the taxiway entrance to the runway. He noted a number of pools of standing water on the runway surface as the Trident back-tracked along the runway. Although he could not estimate their area or depth, the pools appeared to be well within the limits imposed for takeoff using 510 (normal) power. The taxi drills were actioned by the First Officer and the Flight Engineer during this time and ""runway items"" were completed after the Commander turned the aircraft through 180° close to the threshold of runway 28, aligned it on the runway centre line, and selected the wheel brakes to park. A power setting of 100 per cent thrust was made, all engine indications were checked as correct, and the engine relight switches were selected 'ON' before the wheel brakes were released and the takeoff run commenced at about 13:46 with the Commander piloting the aircraft. The aircraft accelerated normally ; the First Officer called out the indicated airspeeds at 80 knots and 100 knots and made a call of 'Wet V1' at 117 knots then removed his hand from the throttles. At the time or just after 'Wet V1' was called the Flight Engineer and the First Officer heard a noise which the latter crew member attributed to the aircraft's entry into standing water. According to the Flight Engineer the aircraft appeared to decelerate at the same time that he heard the noise.The Commander felt a marked deceleration consistent with a loss of engine power, whereupon he immediately closed the throttles, called ""Abandon"", deployed the airbrakes and lift dumpers and applied the wheel brakes fully. However according to the Flight Engineer all engine indications had been normal prior to the closing of the throttles. On seeing a hand close the throttles the First Officer selected emergency reverse thrust on the pod engines, checked the engine indications were correct and maintained the application of emergency reverse thrust until the aircraft eventually came to rest. The First Officer and the Commander checked the indicated pressures on the wheel brake gauges which showed the wheel brakes were fully applied. The initial deceleration felt satisfactory to the crew, then quickly deteriorated and the First Officer formed the impression that the aircraft was aquaplaning. The Flight Engineer then noticed that the aircraft had begun to drift gradually to the left of the runway centreline apparently as the result of a deliberate action by the Commander. Subsequently it became evident to the Commander that he could not bring the aircraft to a halt within the runway confines. Some 200 metres to 300 metres before the end of the runway he turned the aircraft to the left using nose-wheel steering and applied full left rudder. As the nose wheels ran off the runway onto the grass, the aircraft slewed to the left then skidded broadside to the right for a short distance before it came to an abrupt stop at the side of the runway in a right wing down attitude with the right wing tip close to the threshold lights of runway 10.Evacuation drills were initiated and the passengers left the aircraft in a reasonably orderly manner, the majority by slide from the main exit doors and foremost right overwing emergency exit. Catering equipment in the galleys came out of stowage during the accident obstructing access to the forward emergency exit door and preventing use of this exit and its slide during the evacuation.",13:48 UTC,3 Rolls-Royce Spey 512-5W,,,,552,12892,,,,,,
